type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,unknown_tag,issn,date,year,volume,number,start_page,end_page,doi,accession_number,notes,database,custom7,custom6,first_authors
JOUR,"['Alvarez, A', 'Dahlskog, S', 'Font, J', 'Togelius, J']",Interactive Constrained MAP-Elites: Analysis and Evaluation of the Expressiveness of the Feature Dimensions,IEEE TRANSACTIONS ON GAMES,English,"['Games', 'Integrated circuits', 'Generators', 'Tools', 'Mathematical model', 'Heuristic algorithms', 'Brushes', 'Evaluation methods', 'evolutionary algorithms (EAs)', 'mixed-initiative co-creativity (MI-CC)', 'procedural content generation (PCG)', 'OPTIMIZATION']","In this article, we propose the interactive constrained multidimensional archive of phenotypic elites (MAP-Elites), a quality-diversity solution for game content generation, implemented as a new feature of the evolutionary dungeon designer (EDD): a mixed-initiative co-creativity tool for designing dungeons. The feature uses the MAP-Elites algorithm, an illumination algorithm that segregates the population among several cells depending on their scores with respect to different behavioral dimensions. Users can flexibly and dynamically alternate between these dimensions anytime, thus guiding the evolutionary process in an intuitive way, and then incorporate suggestions produced by the algorithm in their room designs. At the same time, any modifications performed by the human user will feed back into MAP-Elites, closing a circular workflow of constant mutual inspiration. This article presents the algorithm followed by an in-depth evaluation of the expressive range of all possible dimension combinations in several scenarios and discusses their influence in the fitness landscape and in the overall performance of the procedural content generation in the EDD.","Malmo Univ, Dept Comp Sci & Media Technol, S-21119 Malmo, Sweden",Malmo University,"defaultdict(<class 'list'>, {'FU': ['Crafoord Foundation'], 'FX': ['The work of Alberto Alvarez and Jose Font was supported by the Evolutionary World Designer project from the Crafoord Foundation.'], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE T GAMES'], 'JI': ['IEEE Trans. Gamres'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2475-1502,JUN,2022,14,2,202,211,10.1109/TG.2020.3046133,WOS:000811581700012,"['Times Cited in Web of Science Core Collection:  7', 'Total Times Cited:  7', 'Cited Reference Count:  37']",WOS,,,
JOUR,"['Sepúlveda, GK', 'Romero, N', 'Vidal-Silva, C', 'Besoain, F', 'Barriga, NA']",Semi-Automatic Building Layout Generation for Virtual Environments,IEEE ACCESS,English,"['Mixed-initiative procedural context generation', 'computer-aided design', 'videogame-level editor']","Creating floor plan layouts for houses, offices, hotels, or videogame levels is time-consuming. In several applications, the process starts with a bubble diagram or graph derived from a client's requirements, which is then used as a basis for drawing a blueprint to continue the design process. That process requires a tool to preserve consistency between design models and diminish the design time. Hence, we have developed a Unity plugin to graphically represent a building layout using nodes and edges for rooms and doors that also allow defining the size and aspect ratio of spaces. This abstract representation is then automatically converted into a blueprint and optimized for explicit constraints (doors, size, and ratio) and implicit ones (tightness, convexity) by applying stochastic hill-climbing or steepest ascent hill-climbing algorithms. Then, the user can edit that blueprint further. As a final result, the tool generates a navigable 3D representation of the floor plan for the user to explore and go back to edit it if necessary. Results show that both algorithms are computing efficient enough to apply them interactively in the tool while providing functional building layouts. This work can assist established designers or enable building layout tools to be used by non-experts, such as potential homebuyers wishing to communicate a desired layout to an architect or hobbyist game designers working on their first videogame.","Univ Talca, Fac Engn, Talca, Chile",Universidad de Talca,"defaultdict(<class 'list'>, {'FU': ['National Agency for Research and Development; Sub-Directorate of Applied Research [ID21|10363]'], 'FX': ['This work was supported in part by the National Agency for Research and Development [Agencia Nacional de Investigacion y Desarrollo(ANID)], Sub-Directorate of Applied Research [Subdireccion de Investigacion Aplicada (SIA)], under Grant ID21|10363.'], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE ACCESS'], 'JI': ['IEEE Access'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2169-3536,,2024,12,,87014,87022,10.1109/ACCESS.2024.3416848,WOS:001256198000001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  40']",WOS,,,
CPAPER,"['Hauck, E', 'Aranha, C']",Automatic Generation of Super Mario Levels via Graph Grammars,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),English,"['Procedural Content Generation', 'Graph Grammar']","Automatically generating game levels using Procedural Content Generation (PCG) is a challenging problem because of the necessity of attending both functional and nonfunctional requirements. In the particular example of level generation for Super Mario, Machine Learning approaches, such as GANs and Reinforcement Learning, have shown promise. However, these black-box approaches usually are not explainable, and thus difficult to integrate with human designers. We propose a different level-generation system that uses a reachable graph structure, automatic detection of level structures, and formal graph grammars. A human designer can also easily add or remove structures to use the system as a level co-creation tool. An experimental analysis shows that the proposed system can generate playable and visually pleasing levels, while revealing some limitations of current approaches on platformer level generation, such as the generation of backtracking segments.","Univ Tsukuba, Dept Comp Sci, Tsukuba, Ibaraki, Japan",University of Tsukuba,"defaultdict(<class 'list'>, {'CP': ['IEEE Conference on Games (IEEE CoG)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE CONF COMPU INTE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2325-4270,,2020,,,297,304,,WOS:000632592300039,"['Times Cited in Web of Science Core Collection:  10', 'Total Times Cited:  10', 'Cited Reference Count:  13']",WOS,,,['IEEE']
JOUR,"['Chia, A']",The artist and the automaton in digital game production,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,English,"['Procedural generation', 'digital game production', 'outsourcing', 'racial capitalism', 'automation', 'digital labour', 'creative industries', 'computational creativity', 'COMPUTATIONAL CREATIVITY']","This article analyses discourses around procedural content generation (PCG) as automation of creativity in the games industry. PCG refers to techniques for creating game content algorithmically, by manipulating data through sets of computational operations and parameters. By producing scalable results with combinatorial diversity, procedural generation is touted as the future of content, yet flouted as the harbinger of technological unemployment in game art production. Critical scholarship on automation suggests that the real danger is not job loss per se, but the constitution of an underclass of artists whose vital work of conditioning algorithmic outputs is denigrated as derivative and 'manual'. Framed by liberal humanist ideas of agency, PCG naturalizes trade-offs where the autonomy of generative machines is contingent upon the automatism of its human conditioners. This qualitative analyses of talks on PCG at the Game Developers Conference (2015-2020) shows how procedural systems bifurcate the creative work of algorithmic cultural production into affective and mechanical forms of conditioning that map onto stratifications of racial capitalism. Affective tuning resists documentation and is reserved for artists with technomasculine forms of cultural capital; mechanical tuning is relegated to automatable and outsourced labour and relies on replicable technique that is considered artistic but not creative. This article argues that PCG's reclassification of creativity through racialised dialectics of human agency and machine automaticity overlooks the autonomy of procedural systems. PCG pipelines are organised less around the agency of human toolmakers and more around the autonomy of systems that assimilate tasks in the management of complex networks of dependencies. Instead of pitting artists against machines, this analysis politicises automation's racial stratifications by examining the momentum of more-than-human systems in which toolmakers and tool users negotiate granularities of control and degrees of concession.","Goldsmiths Univ London, Media Commun & Cultural Studies, London, England",University of London,"defaultdict(<class 'list'>, {'PU': ['SAGE PUBLICATIONS INC'], 'PI': ['THOUSAND OAKS'], 'PA': ['2455 TELLER RD, THOUSAND OAKS, CA 91320 USA'], 'J9': ['CONVERGENCE-US'], 'JI': ['Convergence'], 'WE': ['Social Science Citation Index (SSCI)']})",1354-8565,APR,2022,28,2,389,412,10.1177/13548565221076434,WOS:000763580000001,"['Times Cited in Web of Science Core Collection:  11', 'Total Times Cited:  11', 'Cited Reference Count:  68']",WOS,13548565221076434,FEB 2022,
CPAPER,"['Withington, O', 'Tokarchuk, L']",Compressing and Comparing the Generative Spaces of Procedural Content Generators,"2022 IEEE CONFERENCE ON GAMES, COG",English,,"The past decade has seen a rapid increase in the level of research interest in procedural content generation (PCG) for digital games, and there are now numerous research avenues focused on new approaches for driving and applying PCG systems. An area in which progress has been comparatively slow is the development of generalisable approaches for comparing alternative PCG systems, especially in terms of their generative spaces. It is to this area that this paper aims to make a contribution, by exploring the utility of data compression algorithms in compressing the generative spaces of PCG systems. We hope that this approach could be the basis for developing useful qualitative tools for comparing PCG systems to help designers better understand and optimize their generators. In this work we assess the efficacy of a selection of algorithms across sets of levels for 2D tile-based games by investigating how much their respective generative space compressions correlate with level behavioral characteristics. We conclude that the approach looks to be a promising one despite some inconsistency in efficacy in alternative domains, and that of the algorithms tested Multiple Correspondence Analysis appears to perform the most effectively.","Queen Mary Univ London, London, England",University of London,"defaultdict(<class 'list'>, {'CP': ['IEEE Conference on Games (CoG)'], 'FU': ['EPSRC Centre for Doctoral Training in Intelligent Games & Games Intelligence (IGGI) [EP/S022325/1]'], 'FX': ['This work was supported by the EPSRC Centre for Doctoral Training in Intelligent Games & Games Intelligence (IGGI) [EP/S022325/1]. Thanks to Marko Tot and Michael Saiger for their helpful advice on an earlier draft of this work.'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE CONF COMPU INTE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2325-4270,,2022,,,143,150,10.1109/CoG51982.2022.9893615,WOS:001304089600019,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  45']",WOS,,,['IEEE']
JOUR,"['Latif, A', 'Zuhairi, MF', 'Khan, FQ', 'Randhawa, P', 'Patel, A']",A Critical Evaluation of Procedural Content Generation Approaches for Digital Twins,JOURNAL OF SENSORS,English,,"Procedural content generation (PCG) of terrains is one of the main building blocks for creating an automated and real-time virtual world. This study provides and in-depth review of the different tools, algorithms, and engines used for the PCG of terrains for the PCG of digital worlds; we focus especially on terrain generation but address also the main issues related to build structures and characters. It is important to know that the PCG of terrains can be implemented in a multidisciplinary scenario, for instance, modeling of games, simulating industrial maps, urban and rural planning of developments, government, and nongovernmental agency improvement plans. Many problems in current approaches were identified from the literature, where most of the researches studied were merely throwaway prototyping based, i.e., proof of concept-based systems, and were not tested in the real environment. Also, genetic algorithm-based PCG of terrains lack multiple features such as roads and buildings. The virtual cities generated through different engines were lacking a realistic look and feel. Terrain generation through multiobjective evolutionary algorithms (MOEAs) is investigated, and it is deemed the usage was restricted to the gaming domain and not extended to other fields. Findings suggest that the correctness of generated terrain is a big issue in the automatic generation of terrains. Thus, a focus on the automated correctness check is required. Other important content generation in video games such as structure generation and character generation has been extensively studied, and the techniques are analysed in the further sections of this research work.","Univ Kuala Lumpur, Malaysian Inst Informat Technol, Kuala Lumpur 59100, Malaysia",University of Kuala Lumpur,"defaultdict(<class 'list'>, {'PU': ['HINDAWI LTD'], 'PI': ['LONDON'], 'PA': ['ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND'], 'J9': ['J SENSORS'], 'JI': ['J. Sens.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1687-725X,JUL 29,2022,2022,,,,10.1155/2022/5629645,WOS:000837982700003,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  65']",WOS,5629645,,
CPAPER,"['Jennings, N', 'Wang, H', 'Li, I', 'Smith, J', 'Hartmann, B']","What's the Game, then? Opportunities and Challenges for Runtime Behavior Generation","PROCEEDINGS OF THE 37TH ANNUAL ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY, USIT 2024",English,"['Human-AI interaction', 'Generative AI', 'Procedural Content Generation']","Procedural content generation (PCG), the process of algorithmically creating game components instead of manually, has been a common tool of game development for decades. Recent advances in large language models (LLMs) enable the generation of game behaviors based on player input at runtime. Such code generation brings with it the possibility of entirely new gameplay interactions that may be difficult to integrate with typical game development workflows. We explore these implications through GROMIT, a novel LLM-based runtime behavior generation system for Unity. When triggered by a player action, GROMIT generates a relevant behavior which is compiled without developer intervention and incorporated into the game. We create three demonstration scenarios with GROMIT to investigate how such a technology might be used in game development. In a system evaluation we find that our implementation is able to produce behaviors that result in significant downstream impacts to gameplay. We then conduct an interview study with n=13 game developers using GROMIT as a probe to elicit their current opinion on runtime behavior generation tools, and enumerate the specific themes curtailing the wider use of such tools. We find that the main themes of concern are quality considerations, community expectations, and fit with developer workflows, and that several of the subthemes are unique to runtime behavior generation specifically. We outline a future work agenda to address these concerns, including the need for additional guardrail systems for behavior generation.","Univ Calif Berkeley, Berkeley, CA 94720 USA",University of California System,"defaultdict(<class 'list'>, {'CP': ['37th ACM Annual Symposium on User Interface Software and Technology (UIST)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",979-8-4007-0628-8,,2024,,,,,10.1145/3654777.3676358,WOS:001336570000036,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  33']",WOS,106,,['ACM']
CPAPER,"['Cantoni, R', 'Essenziale, J', 'Pezzera, M', 'Mainetti, R', 'Borghese, NA']",Procedural constrained story generation based on Propp's and Fabula models,2020 IEEE 8TH INTERNATIONAL CONFERENCE ON SERIOUS GAMES AND APPLICATIONS FOR HEALTH (SEGAH 20),English,"['narrative generation', 'procedural content generation', 'exer-games', 'user engagement', 'serious games']","Using narrative to increase engagement in serious games where the user is required to repeatedly interact with the same game for a long period of time, as in rehabilitative exer-games, could help in reducing the boredom inherent to the task. However, producing enough narrative content to cover long rehabilitation periods could require much effort from the authorial point of view. Having a tool that, given a wide enough knowledge base, can virtually produce an infinite set of stories, could greatly help in addressing this issue. For this reason, we explored the field of automatic story generation, designed and developed a multi-layered tool capable of automating the creation process of stories. The tool allows the user to define constraints at setup-time to ensure that a given set of events will appear in the generated story plot. These events may be mapped to specific serious games, making the resulting stories suitable, for instance, for integration in exer-games based rehabilitation platforms.","Univ Milan, Appl Intelligent Syst Lab AIS Lab, Comp Sci Dept, Milan, Italy",University of Milan,"defaultdict(<class 'list'>, {'ED': ['Rodrigues, N', 'Smith, R', 'Dias, N', 'Vilaca, JL', 'Qayumi, K', 'Oliveira, E', 'Duque, D'], 'CP': ['IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH)'], 'FU': ['European H2020 project Movecare grant [ICT-26-2016b - GA 732158]'], 'FX': ['This work is partially supported by the European H2020 project Movecare grant ICT-26-2016b - GA 732158.'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE INT CONF SERIOU'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2330-5649,,2020,,,,,10.1109/segah49190.2020.9201843,WOS:000629061000036,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  34']",WOS,,,
JOUR,"['Coutinho, F', 'Chaimowicz, L']",Pixel art character generation as an image-to-image translation problem using GANs,GRAPHICAL MODELS,English,"['Generative adversarial networks', 'Pixel art', 'Image-to-image translation', 'Procedural content generation', 'Mixed-initiative system']","Asset creation in game development usually requires multiple iterations until a final version is achieved. This iterative process becomes more significant when the content is pixel art, in which the artist carefully places each pixel. We hypothesize that the problem of generating character sprites in a target pose (e.g., facing right) given a source (e.g., facing front) can be framed as an image-to-image translation task. Then, we present an architecture of deep generative models that takes as input an image of a character in one domain (pose) and transfers it to another. We approach the problem using generative adversarial networks (GANs) and build on Pix2Pix's architecture while leveraging some specific characteristics of the pixel art style. We evaluated the trained models using four small datasets (less than 1k) and a more extensive and diverse one (12k). The models yielded promising results, and their generalization capacity varies according to the dataset size and variability. After training models to generate images among four domains (i.e., front, right, back, left), we present an early version of a mixed-initiative sprite editor that allows users to interact with them and iterate in creating character sprites.","Univ Fed Minas Gerais, Dept Ciencia Comp, Belo Horizonte, Brazil",Universidade Federal de Minas Gerais,"defaultdict(<class 'list'>, {'FU': ['CAPES [001]; CNPq [311900/2020-8]; Fapemig [PPM -00563-18]'], 'FX': ['This work was partially supported by CAPES (finance code 001) , CNPq (grant 311900/2020-8) and Fapemig (grant PPM -00563-18) .'], 'PU': ['ACADEMIC PRESS INC ELSEVIER SCIENCE'], 'PI': ['SAN DIEGO'], 'PA': ['525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA'], 'J9': ['GRAPH MODELS'], 'JI': ['Graph. Models'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1524-0703,APR,2024,132,,,,10.1016/j.gmod.2024.101213,WOS:001176766500001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  32']",WOS,101213,FEB 2024,
JOUR,"['Petrovas, A', 'Bausys, R']",Procedural Video Game Scene Generation by Genetic and Neutrosophic WASPAS Algorithms,APPLIED SCIENCES-BASEL,English,"['genetic algorithm', 'procedural generation', 'game scene', 'multicriteria decision making', 'WASPAS-SVNS']","The demand for automated game development assistance tools can be fulfilled by computational creativity algorithms. The procedural generation is one of the topics for creative content development. The main procedural generation challenge for game level layout is how to create a diverse set of levels that could match a human-crafted game scene. Our game scene layouts are created randomly and then sculpted using a genetic algorithm. To address the issue of fitness calculation with conflicting criteria, we use weighted aggregated sum product assessment (WASPAS) in a single-valued neutrosophic set environment (SVNS) that models the indeterminacy with truth, intermediacy, and falsehood memberships. Results are presented as an encoded game object grid where each game object type has a specific function. The algorithm creates a diverse set of game scene layouts by combining game rules validation and aesthetic principles. It successfully creates functional aesthetic patterns without specifically defining the shapes of the combination of games' objects.","Vilnius Gediminas Tech Univ, Dept Graph Syst, Sauletekio Al 11, LT-10223 Vilnius, Lithuania",Vilnius Gediminas Technical University,"defaultdict(<class 'list'>, {'PU': ['MDPI'], 'PI': ['BASEL'], 'PA': ['ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND'], 'J9': ['APPL SCI-BASEL'], 'JI': ['Appl. Sci.-Basel'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2076-3417,JAN,2022,12,2,,,10.3390/app12020772,WOS:000746231700001,"['Times Cited in Web of Science Core Collection:  10', 'Total Times Cited:  10', 'Cited Reference Count:  34']",WOS,772,,
CPAPER,"['Henrich, L', 'Kötter, F']",Generating Race Tracks With Repulsive Curves,"2024 IEEE CONFERENCE ON GAMES, COG 2024",English,"['procedural content generation', 'racing games', 'race track generation', 'racing AI', 'difficulty evaluation', 'GLOBAL CURVATURE']","Procedural content generation is a useful tool for content creation in computer games. We present a novel approach for generating closed, arcade-like race tracks. Our system generates an initial shape by growing a curve inside a constrained space under self-repulsion, hence avoiding self-intersections while ensuring tight packing. This system is capable of generating a wide variety of closed race track shapes with deep customization options, like an isometric alignment of straight sections as developed here. Further, we devise algorithms for fitting the shape to a spline and introducing intersections, as well as fully generating a 3D model with features like crossings and bridges. We integrate the generated tracks into a game by training AI opponents and using them for automatic difficulty evaluation.","Baden Wurttemberg Cooperat State Univ, Stuttgart, Germany",,"defaultdict(<class 'list'>, {'CP': ['6th Annual IEEE Conference on Games (CoG)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE CONF COMPU INTE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2325-4270,,2024,,,,,10.1109/CoG60054.2024.10645670,WOS:001308832400136,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  34']",WOS,,,['IEEE']
